payment_id,contract_id,payment_date,payment_amount,payment_status
PAY001,CON001,2026-02-15,1650.00,Paid
PAY002,CON001,2026-03-15,1650.00,Paid
PAY003,CON001,2026-04-15,1650.00,Paid
PAY004,CON002,2026-03-10,2900.00,Paid
PAY005,CON002,2026-04-10,2900.00,Paid
PAY006,CON003,2026-03-20,1360.00,Paid
PAY007,CON003,2026-04-20,1360.00,Paid
PAY008,CON004,2025-07-12,1250.00,Paid
PAY009,CON004,2025-08-12,1250.00,Paid
PAY010,CON005,2025-10-05,2500.00,Missed
PAY011,CON005,2025-11-05,2500.00,Missed
